SUBTIPO,ESTRATO,NIVEL_PISO,VAL_ARRIEN,AREA_M2,ALCOBAS,BANOS,GARAJES,ESTAR,ESTUDIO,ALC_SERVIC
0,4,3,950000,32,1,1,0,0,0,0
0,4,7,850000,45,1,1,1,0,0,0
0,5,2,750000,60,1,1,0,0,0,0
0,5,4,1000000,60,2,2,0,0,0,0
0,5,2,1350000,75,2,2,1,0,0,0
0,5,2,1400000,90,3,2,1,0,0,0
0,5,3,1150000,65,2,2,0,0,0,0
0,5,3,1200000,90,3,2,1,0,0,0
0,5,3,1200000,65,2,2,0,0,0,0
0,4,2,1300000,84,3,2,1,0,0,0
0,5,3,1100000,120,3,2,0,0,0,0
1,4,0,520000,40,1,1,0,0,0,0
1,5,0,2300000,183,5,3,0,0,0,0
0,4,2,600000,35,1,1,0,0,0,0
0,4,1,780000,30,1,1,0,0,0,0
0,5,3,650000,28,1,1,0,0,0,0
1,4,0,1900000,190,5,2,0,0,0,0
1,4,0,1500000,181,5,3,0,0,0,1
1,4,0,600000,40,1,1,0,0,0,0
1,5,0,4000000,300,5,3,1,1,1,0
1,5,0,4500000,320,6,3,0,0,0,0
1,5,0,550000,30,1,1,0,0,0,0
1,5,0,980000,117,3,2,1,0,0,1
1,5,0,2500000,394,3,4,2,0,1,1
1,5,0,1150000,117,3,2,1,0,0,1
1,5,0,900000,60,2,1,1,0,0,0
1,5,0,1450000,70,2,2,1,0,0,0
1,4,0,790000,38,2,2,0,0,0,0
1,4,6,1250000,64,3,2,1,0,0,0
1,4,0,1000000,75,2,2,0,1,0,0
1,4,2,680000,80,3,2,0,0,0,0
1,4,0,2500000,190,4,3,1,0,0,0
1,4,0,2500000,150,3,2,1,0,0,0
1,4,2,1000000,74,3,2,0,0,0,0
1,4,0,1200000,78,3,2,0,0,0,0
1,4,0,680000,45,1,1,1,0,0,0
1,4,0,1600000,120,3,2,1,0,0,0
1,4,0,1140000,140,3,2,1,0,0,1
1,4,0,1500000,130,4,3,1,1,0,0
1,4,0,1600000,100,4,2,0,0,0,0
1,4,0,1500000,144,3,2,1,0,0,0
1,4,0,1100000,102,4,4,0,0,0,0
1,4,0,3000000,140,3,3,1,0,0,0
0,4,2,1000000,100,3,2,0,0,0,0
1,5,0,3200000,220,4,3,0,0,0,0
1,5,0,3000000,136,8,3,0,0,0,0
0,5,3,1200000,75,2,2,1,0,0,0
0,5,4,1200000,75,2,2,1,0,0,0
0,5,4,1400000,77,3,2,1,0,0,0
0,5,4,1500000,77,3,2,1,0,0,0
0,5,3,1500000,80,3,2,1,0,0,0
0,5,6,950000,60,2,2,0,0,0,0
0,5,4,1150000,60,2,2,0,0,0,0
0,5,3,750000,37,1,1,0,0,0,0
0,5,5,1350000,96,3,2,1,0,0,0
0,5,2,860000,61,2,2,0,0,0,0
0,5,4,1200000,60,2,2,0,0,0,0
0,5,4,1000000,60,2,2,0,0,0,0
0,5,3,850000,55,2,2,1,0,0,0
0,5,2,1500000,100,3,2,0,0,1,0
0,5,1,2500000,250,3,3,2,1,1,1
0,5,2,1500000,100,3,2,0,1,1,0
0,5,3,900000,40,1,1,0,0,0,0
0,5,5,830000,45,1,1,0,0,0,0
1,5,0,5000000,270,7,4,1,0,0,0
0,5,7,650000,34,1,1,0,0,0,0
1,4,0,1800000,200,4,3,2,1,0,0
0,4,4,1350000,92,3,2,0,0,0,0
1,4,0,1300000,145,3,2,1,0,0,0
0,4,11,1350000,110,2,2,1,0,0,0
0,4,7,1250000,120,3,2,0,0,1,0
0,4,8,950000,47,1,1,1,0,0,0
0,4,5,790000,52,1,1,0,0,0,0
0,4,5,1350000,80,3,2,1,0,0,0
0,4,8,800000,45,1,1,1,0,0,0
0,4,0,950000,220,3,2,0,0,0,1
0,4,0,1150000,98,3,3,1,0,0,0
1,4,1,500000,45,1,1,0,0,0,0
0,5,0,1200000,60,2,1,1,0,0,0
0,5,2,500000,30,1,1,0,0,0,0
0,5,4,650000,35,1,1,0,0,0,0
0,5,3,600000,35,1,1,0,0,0,0
0,5,2,500000,30,1,1,0,0,0,0
0,5,5,1200000,92,2,2,1,0,0,0
0,5,2,500000,30,1,1,0,0,0,0
0,5,2,400000,30,1,1,0,0,0,0
0,5,3,800000,60,2,1,1,0,0,0
0,5,2,400000,30,1,1,0,0,0,0
0,5,2,1300000,65,3,2,1,0,0,0
0,5,8,900000,58,3,2,0,0,0,0
0,5,11,950000,50,2,1,0,0,0,0
0,5,3,1500000,50,2,1,0,0,0,0
0,5,8,900000,60,3,2,0,0,0,0
0,5,2,950000,85,3,2,1,0,0,0
0,5,12,900000,50,2,1,0,0,0,0
0,5,12,800000,50,2,1,0,0,0,0
1,5,0,5000000,320,6,3,1,0,0,0
0,5,6,1300000,70,3,2,1,0,0,0
0,5,3,770000,40,1,1,1,0,0,0
0,5,9,1000000,70,3,2,1,0,0,0
0,5,2,950000,70,3,2,1,0,0,0
0,5,3,830000,48,2,1,1,0,0,0
0,5,7,1200000,50,2,2,1,0,0,0
0,5,3,1450000,100,3,2,0,0,0,0
0,5,3,1500000,100,3,2,0,0,0,0
0,5,4,850000,47,1,1,1,0,0,0
0,5,7,1000000,85,2,2,1,0,0,0
0,5,0,800000,55,2,1,1,0,0,0
0,5,2,1600000,136,3,3,1,0,0,0
0,5,2,760000,55,2,2,0,0,0,0
1,5,0,2700000,250,5,4,1,0,1,0
1,5,0,2400000,200,5,4,1,0,0,1
1,5,0,1100000,84,3,2,0,0,0,0
1,5,0,1190000,84,3,2,0,0,0,0
1,5,0,1300000,100,3,2,1,0,0,0
0,5,0,850000,70,3,2,0,1,0,0
0,5,2,1300000,60,2,2,1,0,0,0
0,5,1,950000,55,1,1,0,0,0,0
0,5,1,700000,45,1,1,0,0,0,0
0,5,4,800000,49,1,1,0,0,0,0
1,5,0,2500000,350,7,5,1,0,0,0
1,5,0,3300000,350,7,5,1,0,0,0
1,5,0,2500000,200,4,4,1,0,0,0
1,5,0,2000000,220,3,4,1,1,0,1
0,5,5,2100000,108,3,2,1,0,0,0
0,5,3,1500000,86,3,2,0,0,0,0
0,5,5,580000,48,1,1,0,0,0,0
0,5,4,1150000,110,3,3,1,1,0,1
0,5,2,700000,48,1,1,0,0,0,0
0,5,2,1500000,190,6,2,0,0,0,0
0,5,5,700000,48,1,1,0,0,0,0
0,5,4,750000,45,1,1,0,0,0,0
0,5,4,1115000,110,3,3,1,0,0,1
0,5,5,700000,48,1,1,0,0,0,0
1,5,0,1700000,150,3,3,1,0,0,1
0,5,3,1500000,74,3,2,1,0,0,0
0,5,3,900000,80,3,2,1,0,0,0
0,5,8,1000000,66,2,1,1,0,0,0
0,5,3,1400000,80,3,2,1,0,0,0
0,5,3,850000,80,3,2,1,0,0,0
0,5,6,850000,45,1,1,1,0,0,0
0,5,5,900000,33,1,1,1,0,0,0
0,5,9,1350000,86,3,2,1,0,0,0
0,5,0,900000,96,3,2,0,0,1,1
0,5,3,960000,95,3,2,1,0,0,0
0,5,0,950000,70,3,2,0,0,0,0
0,5,2,1100000,90,3,2,1,0,0,0
0,5,2,800000,65,2,2,0,0,0,0
1,5,0,6000000,400,10,4,1,0,1,0
1,5,0,4200000,365,10,4,1,0,0,0
0,5,2,650000,90,3,2,0,0,0,0
0,4,3,550000,38,1,1,0,0,0,0
1,5,0,1200000,100,3,2,0,0,0,0
1,5,0,900000,100,3,2,0,0,0,0
0,5,4,700000,30,1,1,0,0,0,0
0,5,3,900000,140,4,2,0,0,0,0
1,5,0,680000,30,1,1,0,0,0,0
1,5,0,1200000,110,3,2,0,0,0,0
1,5,0,1400000,140,3,2,1,0,0,0
1,5,0,3500000,400,7,4,3,1,1,0
0,5,1,820000,52,2,2,1,0,0,0
